127.0.0.1 - - [06/Nov/2014:23:34:20 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:34:21 +0000] "GET /ClientWebsite/Index.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:34:31 +0000] "GET /ClientWebsite/Index.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:34:31 +0000] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:34:44 +0000] "GET /ClientWebsite/Index.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/Index.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/css/style.css HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/css/reset.css HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/js/modernizr.js HTTP/1.1" 200 51364
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/img/mall.png HTTP/1.1" 200 19716
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/js/main.js HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/img/shop2.png HTTP/1.1" 200 36327
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/img/cd-cart.svg HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:20 +0000] "GET /ClientWebsite/img/cd-remove-item.svg HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/Index.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/img/mall.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/img/shop2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/img/cd-cart.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2014:23:36:41 +0000] "GET /ClientWebsite/img/cd-remove-item.svg HTTP/1.1" 304 -
